Accountant,"Accountants set up and maintain accounting systems and prepare financial statements and reports for individuals, departments and organizations.","1. Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.","2. Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting or other tax requirements.","3. Analyze business operations, trends, costs, revenues, financial commitments, and obligations, to project future revenues and expenses or to provide advice.",4. Report to management regarding the finances of establishment.,5. Establish tables of accounts and assign entries to proper accounts.,"6. Develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.","7. Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.","8. Prepare forms and manuals for accounting and bookkeeping personnel, and direct their work activities.","9. Survey operations to ascertain financial needs and to recommend, develop, or maintain solutions to business and financial problems.","10. Advise management about issues such as resource utilization, tax strategies, and the assumptions underlying budget forecasts.",,
Administrative Services Department Manager,"Administrative services department managers plan, direct or coordinate supportive services of an organisation, such as recordkeeping, mail distribution, telephones, reception and other office support services. May oversee facilities planning and maintenance and custodial operations.","1. Direct or coordinate an organisation’s supportive services department, e.g. mail distribution, purchasing, reception, security services or facilities management.",2. Develop plans and set goals for the department.,3. Organise the activities and resources of the service and set work schedules.,4. Hire and dismiss employees.,"5. Supervise staff in the department and (possibly) other departments, assign tasks and delegate responsibilities.",6. Control and monitor the service to ensure it is running smoothly.,7. Prepare and review operational and financial reports and schedules to ensure accuracy and efficiency.,8. Administer and control budgets for the service.,9. Manage administrative tasks of the department.,"10. Oversee the maintenance and repair of facilities, machinery, equipment and other resources.","11. Analyse internal processes and recommend, develop and implement procedural or policy changes to improve operations and systems.",
Agricultural advisor,"Agricultural advisors assist and advise farmers, agricultural businesses, rural industries and government in the production, processing and distribution of farm products.","1. Collaborate with clients (e.g. farmers, agricultural businesses, rural industries) in order to identify and evaluate business and technical requirements.",2. Diagnose clients’ management and production problems.,"3. Advise clients in areas such as feeding and health maintenance of livestock, growing and harvesting practices, choice of machinery and equipment, etc. ","4. Solve problems (e.g. nutrient disorders in plants and livestock, management of weeds and plant diseases) and create solutions, including organising and conducting field trials.","5. Assist clients with business planning, planning applications, government grant applications and new business ventures.",6. Schedule and make regular visits to clients.,"7. Collect and analyse data, crop yield and financial reports to measure clients’ performance.",8. Gather relevant information (e.g. as requested by clients) and keep up to date with any relevant developments. ,"9. Conduct classes or deliver lectures, presentations and demonstrations on subjects such as farming techniques, business management and new regulations. ","10. Prepare and distribute leaflets, pamphlets and visual aids for educational and informational purposes.","11. Organise, advise and participate in community activities and organisations such as fair events and agricultural clubs.","12. Maintain client records (e.g. services provided to clients, the effects of advice given), manage budgets and accounts, prepare reports and undertake general administrative duties."
Aircraft mechanic and service technician,"Aircraft mechanics or service technicians diagnose, adjust, repair and overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.","1. Determine the feasibility and method of repairing or replacing faulty or damaged components, e.g. by interpreting maintenance manuals or other specifications.",2. Conduct routine and special inspections.,"3. Examine aircraft components to detect faults, defects or potential problems.","4. Test aircraft communication equipment, instruments and electronic systems.",5. Measure parts for wear using precision instruments.,6. Remove and reassemble large parts of planes (e.g. engines) using hoists or lifts.,"7. Replace or repair worn, defective or damaged components using hand tools, gauges and testing equipment.",8. Inspect and test completed work to certify that maintenance meets standards and that aircraft is ready for operation. ,9. Document all aircraft maintenance.,,,
Ambulance attendant,"Ambulance attendants drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients.",1. Drive ambulances for emergency transportation of patients to medical facilities,2. Drive ambulances for routine transportation of patients,"3. Lift and place patients on stretchers, load stretchers into ambulances and transfer patients to hospital","4. Provide first aid such as bandaging, splinting and administering oxygen",5. Keep the ambulance and equipment clean and in good working order,6. Maintain sufficient medical supplies in the ambulance,7. Restrain or shackle violent patients,8. Report relevant facts to hospital personnel or law enforcement officials,9. Assist hospital staff with the provision of medical treatment if necessary,10. Prepare written reports on the state of patients’ injuries and treatment provided,,
Asbestos removal worker,Asbestos removal workers remove asbestos from buildings and facilities.,"1. Prepare construction sites, e.g. erect barriers and scaffolding.","2. Select or request equipment or machines, and transport or set them up.","3. Identify asbestos, that need to be removed, e.g. by using monitoring devices.","4. Wear respirators for protection from dangerous airborne particles and protective suits that completely protect from hazardous materials (e.g. disposable or reusable overalls, gloves, hardhats, shoe covers, safety glasses or goggles, chemical-resistant clothing, face shields, and devices to protect hearing). ",5. Perform demolition and deconstruction work. ,"6. Remove asbestos from the surfaces of walls and structures, using a variety of hand and power tools (e.g. vacuums and scrapers). ","7. Package, transport and dispose asbestos in a safe manner.","8. Respond to accidents and emergencies, clean up in case of accidents or emergencies.",,,,
Assembling helper ,"Assembling helpers help production workers by performing duties such as supplying or holding materials or tools, and cleaning work area and equipment.",1. Put together finished and semi-finished goods,2. Assemble the pieces of components of the product,3. Assist assemblers in the manufacturing process. ,4. Examine products to verify conformity to quality standards.,5. Observe equipment operations to detect faults and notify operators of any faults.,"6. Lift raw materials, finished products and packed items manually or using hoists.","7. Load and unload items to and from machines, conveyors and conveyances.","8. Undertake inventory procedures, pack materials and place in storage.",9. Mark or tag identification on parts.,10. Maintain the cleanliness of machinery and the working area.,"11. Do off-line duties such as sub-assembly and testing, under instruction from leading hands or supervisors.",
Bank clerk,"Bank clerks handle the inputting, coding or follow-up of all or part of the administrative tasks related to the financial transactions of clients or the bank, such as changes, funds, transfers, etc.","1. Answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.","2. Compile information about new accounts, enter account information into computers, and file related forms or other documents.",3. Refer customers to appropriate bank personnel to meet their financial needs.,4. Interview customers to obtain information needed for opening accounts or renting safe-deposit boxes.,"5. Inform customers of procedures for applying for services such as ATM cards, direct deposit of checks, and certificates of deposit.",6. Obtain credit records from reporting agencies.,"7. Collect and record customer deposits and fees, and issue receipts using computers.","8. Investigate and correct errors upon customers' request, according to customer and bank records.",9. Perform teller duties as required.,10. Execute wire transfers of funds.,,
Beautician,"Beauticians carry out various beauty treatments and give advice to clients, e.g. on skin and body care.",1. Discuss clients’ requirements and carry out skin analysis.,2. Prepare treatment plans for clients.,"3. Perform facial treatments, e.g. apply creams, lotions and masks, perform facial massage, tint eyelashes and eyebrows, apply make-up, etc.","4. Perform body treatments, e.g. perform body massage, UV or spray tanning, hydrotherapy, body hair removal, etc.","5. Perform cosmetic hand, nail and foot treatments (e.g. manicures, pedicures, nail extensions).","6. Perform specialist treatments, e.g. acne treatment, electro-therapy, skin rejuvenation therapies, camouflage treatments, electrolysis, etc.","7. Advise clients, e.g. on skin care, make-up, nutrition, exercise programmes, etc.",8. Recognise problems and refer clients to medical practitioners.,9. Sell and give advice on cosmetic products and services.,10. Maintain client records.,"11. Perform reception duties, e.g. schedule appointments, answer the telephone, order supplies and operate cash register to receive payments.","12. Keep the salon, work station and tools clean and tidy."
Beverage production process operator,Beverage production process operators operate equipment to produce beverage.,1. Store and organise supplies.,"2. Operate machinery to process alcoholic or non-alcoholic beverages (e.g. grind, extract, mix, blend, distil).","3. Take measurements and conduct standardised tests on beverages, e.g. to ensure compliance with standards and regulations regarding factors such as colour, texture and nutrients.",4. Prepare basic ingredients for processing.,5. Make records of the production flow.,"6. Operate machinery to bottle, can or otherwise package beverages.",7. Monitor the production process and adjust machinery if necessary.,"8. Sterilise packaging material, such as bottles and containers.",9. Label and pack the products.,10. Check and maintain the cleanliness of equipment and utensils to make sure health and safety regulations are met.,"11. Inform supervisors about relevant issues, e.g. when equipment is not working properly or supplies are getting low.",
